species,decimalLongitude,decimalLatitude
Bergenia ciliata,73.6,34.63
Bergenia ciliata,73,34.5
Bergenia ciliata,77.23,32.35
Bergenia ciliata,73.79,34.08
Bergenia ciliata,73.79,34.08
Bergenia ciliata,73.79,34.08
Bergenia ciliata,73.79,34.08
Bergenia ciliata,73.79,34.08
Bergenia ciliata,73.79,34.08
Bergenia ciliata,-71.504172,-33.045667
Bergenia ciliata,72.51728,33.53872
Bergenia ciliata,79.655824,29.460473
Bergenia ciliata,84.28189,28.54956
Bergenia ciliata,84.28189,28.54956
Bergenia ciliata,84.28189,28.54956
Bergenia ciliata,84.265561,28.310533
Bergenia ciliata,84.28189,28.54956
Bergenia ciliata,-2.181607,51.43345
Bergenia ciliata,89.878098,27.502552
Bergenia ciliata,91.283012,26.850195
Bergenia ciliata,-99.172,19.347
Bergenia ciliata,-99.172,19.347
Bergenia ciliata,144.9667,-37.8167
Bergenia ciliata,10.671,63.434
Bergenia ciliata,10.671,63.434
Bergenia ciliata,10.671,63.434
Bergenia ciliata,10.671,63.434
Bergenia ciliata,10.671,63.434
Bergenia ciliata,10.671,63.434
Bergenia ciliata,10.671,63.434
Bergenia ciliata,10.671,63.434
Bergenia ciliata,10.671,63.434
Bergenia ciliata,77.192107,32.322015
Bergenia ciliata,-4.288257,55.892829
Bergenia ciliata,80.231331,30.07796
Bergenia ciliata,150.4314,-33.7364
Bergenia ciliata,150.4314,-33.7364
Bergenia ciliata,79.437332,30.730474
Bergenia ciliata,79.774575,29.706928
Bergenia ciliata,-123.25081,49.25408
Bergenia ciliata,144.9667,-37.8167
Bergenia ciliata,145,-37.816667
Bergenia ciliata,85.29,28.85
Bergenia ciliata,85.29,28.85
Bergenia ciliata,83.727186,28.395339
Bergenia ciliata,72.644,35.325
Bergenia ciliata,-73.877952,40.864591
Bergenia ciliata,-73.88,40.85
Bergenia ciliata,144.8838,-37.7552
Bergenia ciliata,144.9955,-37.7947
Bergenia ciliata,150.432556,-33.734821
Bergenia ciliata,150.432556,-33.734821
Bergenia ciliata,9.943706,54.964909
Bergenia ciliata,10.361971,54.862083
Bergenia ciliata,8.365949,55.964347
Bergenia ciliata,9.245931,55.795017
Bergenia ciliata,10.904547,55.133416
Bergenia ciliata,84.28189,28.54956
Bergenia ciliata,-81.7443,29.6086
Bergenia ciliata,18.0471,59.37
Bergenia ciliata,88.68027605,27.1012347
Bergenia ciliata,86.71829212,27.70550776
Bergenia ciliata,85.40701797,27.572009
Bergenia ciliata,84.26556111,28.31053333
Bergenia ciliata,79.65582423,29.4604734
Bergenia ciliata,80.23706278,30.07045944
Bergenia ciliata,80.23526788,30.07937914
Bergenia ciliata,80.23304707,30.07711157
Bergenia ciliata,80.24445361,30.09290333
Bergenia ciliata,72.86199935,33.89744947
Bergenia ciliata,78.20426167,30.44397167
Bergenia ciliata,80.23133068,30.07795993
Bergenia ciliata,77.19210695,32.32201523
Bergenia ciliata,79.774575,29.70692833
Bergenia ciliata,78.64916992,30.57472229
Bergenia ciliata,83.72718631,28.39533881
Bergenia ciliata,72.644,35.325
Codonopsis ovata,108.6972064,27.91595037
Codonopsis ovata,85.96626627,27.96924292
Codonopsis ovata,75.43,34.25
Codonopsis ovata,73.78,34.83
Codonopsis ovata,74.82,34.08
Codonopsis ovata,74.35,34.03
Codonopsis ovata,74.38,34.05
Codonopsis ovata,74.65,34.5
Codonopsis ovata,76.35,33.13
Codonopsis ovata,77,33
Codonopsis ovata,76.67,32.83
Codonopsis ovata,74.33,34.03
Codonopsis ovata,74.38,34.05
Codonopsis ovata,76.67,32.83
Codonopsis ovata,77,33
Codonopsis ovata,75.25,34.17
Codonopsis ovata,74.38,34.05
Codonopsis ovata,77,33
Codonopsis ovata,75.53,33.73
Codonopsis ovata,75.25,34.3
Codonopsis ovata,75.52,34.08
Codonopsis ovata,75.33,34.17
Codonopsis ovata,75.33,34.17
Codonopsis ovata,74.15,34.13
Codonopsis ovata,75.13,33.58
Codonopsis ovata,75.13,33.58
Codonopsis ovata,77,33
Codonopsis ovata,73.5,34.4
Codonopsis ovata,74.82,34.08
Codonopsis ovata,73,34.5
Codonopsis ovata,72.58,35.33
Codonopsis ovata,73.53,34.78
Codonopsis ovata,73.98,35.1
Codonopsis ovata,75.55,34.08
Codonopsis ovata,75.33,34.03
Codonopsis ovata,72.58,35.52
Codonopsis ovata,75.7,34.45
Codonopsis ovata,75.5,35.17
Codonopsis ovata,73.65,34.9
Codonopsis ovata,77.25,32.37
Codonopsis ovata,75.3,34.3
Codonopsis ovata,74.33,34.03
Codonopsis ovata,72.78,34.55
Codonopsis ovata,73.68,34.9
Codonopsis ovata,74.3,35.9
Codonopsis ovata,74.73,34.72
Codonopsis ovata,73.5,34.4
Codonopsis ovata,74.97,34.73
Codonopsis ovata,74.37,34.83
Codonopsis ovata,75.1,34.42
Codonopsis ovata,77,32.58
Codonopsis ovata,73.68,34.9
Codonopsis ovata,73.68,34.9
Codonopsis ovata,73.68,34.9
Codonopsis ovata,74.82,34.08
Codonopsis ovata,73.53,34.78
Codonopsis ovata,72.58,35.52
Codonopsis ovata,76.45,34.38
Codonopsis ovata,77.25,32.37
Codonopsis ovata,74.94,34.78
Codonopsis ovata,77.23,32.35
Codonopsis ovata,10.671,63.434
Codonopsis ovata,10.4511,63.4474
Codonopsis ovata,78.009278,31.948028
Codonopsis ovata,75.38194,30.97361
Codonopsis ovata,75.38194,30.97361
Codonopsis ovata,75.38194,30.97361
Codonopsis ovata,74.5556,41.46505
Codonopsis ovata,77.55,34.14
Codonopsis ovata,76.17028,35.225
Codonopsis ovata,69.38583,29.96694
Codonopsis ovata,75.28333333,34.28333333
Codonopsis ovata,75.28333333,34
Codonopsis rotundifolia,85.32930888,28.39551784
Codonopsis rotundifolia,82.983333,28.883333
Codonopsis rotundifolia,74.77,33.68
Codonopsis rotundifolia,74.53,33.63
Codonopsis rotundifolia,77.15,31.12
Codonopsis rotundifolia,76.35,33.13
Codonopsis rotundifolia,73.37,34.05
Codonopsis rotundifolia,75.33,34.03
Codonopsis rotundifolia,77.47,30.87
Codonopsis rotundifolia,75.53,33.5
Codonopsis rotundifolia,76.38,33.42
Codonopsis rotundifolia,80.28,30.25
Codonopsis rotundifolia,77.15,31.12
Codonopsis rotundifolia,76.67,32.83
Codonopsis rotundifolia,77.13,32.17
Codonopsis rotundifolia,75.3,34.3
Codonopsis rotundifolia,79.33,30.25
Codonopsis rotundifolia,76.67,32.83
Codonopsis rotundifolia,76.45,32.87
Codonopsis rotundifolia,77.85,30.75
Codonopsis rotundifolia,75,34.22
Codonopsis rotundifolia,75.25,34.3
Codonopsis rotundifolia,83.9,28.1
Codonopsis rotundifolia,78.25,31.42
Codonopsis rotundifolia,78.92,30.92
Codonopsis rotundifolia,78.92,31
Codonopsis rotundifolia,82.4,28.8
Codonopsis rotundifolia,82.98,28.88
Codonopsis rotundifolia,82.98,28.88
Codonopsis rotundifolia,82.4,28.8
Codonopsis rotundifolia,82.25,29.25
Codonopsis rotundifolia,74.98,34.37
Codonopsis rotundifolia,75.33,34.03
Codonopsis rotundifolia,74.43,34.03
Codonopsis rotundifolia,78.37,31.38
Codonopsis rotundifolia,73.5,34.4
Codonopsis rotundifolia,77,33
Codonopsis rotundifolia,75.33,34.03
Codonopsis rotundifolia,74.72,34.62
Codonopsis rotundifolia,75.3,34.3
Codonopsis rotundifolia,82.4,28.8
Codonopsis rotundifolia,82.98,28.88
Codonopsis rotundifolia,83.9,28.1
Codonopsis rotundifolia,72,34.5
Codonopsis rotundifolia,75.33,34.03
Codonopsis rotundifolia,77.2,32.3
Codonopsis rotundifolia,77,33
Codonopsis rotundifolia,80.87,30.1
Codonopsis rotundifolia,75.3,34.3
Codonopsis rotundifolia,82.4,28.8
Codonopsis rotundifolia,79.58,30.55
Codonopsis rotundifolia,83.9,28.1
Codonopsis rotundifolia,82.4,28.8
Codonopsis rotundifolia,82.25,29.25
Codonopsis rotundifolia,82.4,28.8
Codonopsis rotundifolia,83.9,28.1
Codonopsis rotundifolia,80.27,30.25
Codonopsis rotundifolia,80.27,30.15
Codonopsis rotundifolia,80.25,30.2
Codonopsis rotundifolia,80.27,30.22
Codonopsis rotundifolia,84.47,27.8
Codonopsis rotundifolia,82.98,28.88
Codonopsis rotundifolia,74.53,33.63
Codonopsis rotundifolia,74.12,33.97
Codonopsis rotundifolia,74.37,34.83
Codonopsis rotundifolia,73.97,34.67
Codonopsis rotundifolia,73.35,34.38
Codonopsis rotundifolia,71.83,35.32
Codonopsis rotundifolia,73.37,34.05
Codonopsis rotundifolia,75,34.22
Codonopsis rotundifolia,75.25,34.3
Codonopsis rotundifolia,75.77,33.32
Codonopsis rotundifolia,76.27,33.38
Codonopsis rotundifolia,75.53,33.5
Codonopsis rotundifolia,74.77,33.68
Codonopsis rotundifolia,74.12,33.97
Codonopsis rotundifolia,73.5,34.4
Codonopsis rotundifolia,73.37,34.05
Codonopsis rotundifolia,73.42,33.92
Codonopsis rotundifolia,71.83,35.32
Codonopsis rotundifolia,73.53,34.62
Codonopsis rotundifolia,74.38,34.05
Codonopsis rotundifolia,72.6,34.9
Codonopsis rotundifolia,77.23,32.35
Codonopsis rotundifolia,77.23,32.35
Codonopsis rotundifolia,85.98,28.17
Codonopsis rotundifolia,85.98,28.17
Codonopsis rotundifolia,85.98,28.17
Codonopsis rotundifolia,85.98,28.17
Codonopsis rotundifolia,80.204597,30.067847
Codonopsis rotundifolia,80.204789,30.067858
Codonopsis rotundifolia,80.206511,30.069975
Codonopsis rotundifolia,79.594873,30.714777
Codonopsis rotundifolia,79.605301,30.728041
Codonopsis rotundifolia,79.602763,30.728831
Codonopsis rotundifolia,79.605303,30.72804
Codonopsis rotundifolia,79.61611,22.88361
Codonopsis rotundifolia,69.38583,29.96694
Codonopsis rotundifolia,83.93861,28.25306
Codonopsis rotundifolia,79.31,30.05
Codonopsis rotundifolia,79.31,30.05
Codonopsis rotundifolia,74.33361,32.91
Codonopsis rotundifolia,83.938548,28.253008
Codonopsis rotundifolia,80.20478889,30.06785833
Codonopsis rotundifolia,80.20459722,30.06784722
Codonopsis rotundifolia,80.20651111,30.069975
Codonopsis rotundifolia,79.59487325,30.71477742
Codonopsis rotundifolia,79.602763,30.728831
Codonopsis rotundifolia,79.605303,30.72804
Codonopsis rotundifolia,82.98333333,28.88333333
Codonopsis rotundifolia,74.71666667,33.63333333
Eremurus himalaicus,75.019466,34.129334
Eremurus himalaicus,74.593538,34.071251
Eremurus himalaicus,75.019466,34.129334
Eremurus himalaicus,71,35.25
Eremurus himalaicus,77.02,32.65
Eremurus himalaicus,76.28,33.02
Eremurus himalaicus,77,33
Eremurus himalaicus,76.33,33.05
Eremurus himalaicus,74.82,34.08
Eremurus himalaicus,77,33
Eremurus himalaicus,75.33,34.03
Eremurus himalaicus,75.3,34.3
Eremurus himalaicus,74.65,34.5
Eremurus himalaicus,73.53,34.78
Eremurus himalaicus,73.53,34.78
Eremurus himalaicus,72.58,35.33
Eremurus himalaicus,75.63,34.33
Eremurus himalaicus,75.77,34.43
Eremurus himalaicus,75.77,34.45
Eremurus himalaicus,75.98,34.62
Eremurus himalaicus,75.12,34.87
Eremurus himalaicus,72,34.5
Eremurus himalaicus,71.77,35.4
Eremurus himalaicus,71.78,35.33
Eremurus himalaicus,71.78,35.38
Eremurus himalaicus,74.23,36.12
Eremurus himalaicus,74.95,34.78
Eremurus himalaicus,74.68,35.18
Eremurus himalaicus,74.82,34.08
Eremurus himalaicus,74.38,34.05
Eremurus himalaicus,75.833333,34.416667
Eremurus himalaicus,10.910711,48.689373
Eremurus himalaicus,75.03285,34.37054
Eremurus himalaicus,74.28,34.3
Eremurus himalaicus,-123.25081,49.25408
Eremurus himalaicus,-123.25081,49.25408
Eremurus himalaicus,10.910711,48.689373
Eremurus himalaicus,10.217199,48.968048
Eremurus himalaicus,75.03285,34.37054
Iris hookeriana,75.014972,34.082967
Iris hookeriana,75.6,34.37
Iris hookeriana,75.6,34.37
Iris hookeriana,74.82,34.08
Iris hookeriana,72.58,35.33
Iris hookeriana,75.77,34.43
Iris hookeriana,75.63,34.53
Iris hookeriana,75.12,34.85
Iris hookeriana,74.53,35.17
Iris hookeriana,74.62,35.18
Iris hookeriana,74.68,35.27
Iris hookeriana,74.68,35.27
Iris hookeriana,74.78,35.23
Iris hookeriana,74.77,35.37
Iris hookeriana,76.7,34.28
Iris hookeriana,76.17,32.55
Iris hookeriana,74.22,35.85
Iris hookeriana,73.68,34.9
Iris hookeriana,73.53,34.78
Iris hookeriana,75.47,34.27
Iris hookeriana,74.03,35.15
Iris hookeriana,74.95,34.78
Iris hookeriana,74.3,35.9
Iris hookeriana,74.3,35.9
Iris hookeriana,74.3,35.9
Iris hookeriana,74.75,35.32
Iris hookeriana,74.75,35.32
Iris hookeriana,74.3,35.9
Iris hookeriana,71.78,35.85
Iris hookeriana,73.460743,34.639826
Iris hookeriana,73.460743,34.639826
Iris hookeriana,77.03198,32.571
Iris hookeriana,75.13333,33.76667
Iris hookeriana,75.75169,34.4276
Iris hookeriana,77.25,32.08333
Iris hookeriana,77.25,32.08333
Iris hookeriana,77.25166,32.40861
Iris hookeriana,77.03198,32.571
Iris hookeriana,74.36717,34.029518
Iris hookeriana,74.371098,34.027002
Iris hookeriana,72.889563,34.252168
Iris hookeriana,73.562696,33.429923
Iris hookeriana,72.94922,33.946781
Iris hookeriana,73.797698,34.586899
Iris hookeriana,72.76,35.07
Iris hookeriana,72.22,35.54
Iris hookeriana,75.46938,34.278622
Iris hookeriana,72.369574,35.17656
Iris hookeriana,75.4,32.5
Iris hookeriana,74.366247,34.060439
Iris hookeriana,75.983171,34.09438
Iris hookeriana,75.465271,34.088044
Iris hookeriana,77.585449,34.154999
Iris hookeriana,72.644,35.325
Iris hookeriana,73.4607431,34.6398264
Iris hookeriana,73.4607431,34.6398264
Iris hookeriana,75.1223445,34.39021333
Iris hookeriana,74.37109814,34.02700225
Iris hookeriana,74.36716952,34.02951808
Iris hookeriana,72.36506581,35.16966501
Iris hookeriana,72.36957394,35.17655981
Iris hookeriana,75.46938,34.27862197
Iris hookeriana,74.36624737,34.06043881
Iris hookeriana,75.983171,34.09438
Iris hookeriana,75.465271,34.088044
Iris hookeriana,72.644,35.325
Plantago himalaica,75.64999838,37.43689277
Plantago himalaica,75.64999838,37.43689277
Plantago himalaica,75.64999838,37.43689277
Plantago himalaica,79.53778126,31.93485886
Plantago himalaica,75.2301938,37.78067754
Plantago himalaica,87.18888394,46.56112844
Plantago himalaica,75.2301938,37.78067754
Plantago himalaica,75.40916545,37.35009345
Plantago himalaica,75.41121734,37.33661608
Plantago himalaica,75.97,34.3
Plantago himalaica,77.55,34.09
Plantago himalaica,77.61,34.22
Plantago himalaica,77.69,33.11
Plantago himalaica,77.51,32.88
Plantago himalaica,77.45,33.22
Plantago himalaica,77.38,33.91
Plantago himalaica,77.46,33.24
Plantago himalaica,77.86,32.7
Plantago himalaica,77.15,33.24
Plantago himalaica,77.34,33.97
Plantago himalaica,77.51,33.8
Plantago himalaica,77.55,34.08
Plantago himalaica,77.54,34.08
Plantago himalaica,77.97,33.7
Plantago himalaica,77.59,34.17
Plantago himalaica,78.14,33.48
Plantago himalaica,77.82,33.58
Plantago himalaica,78.02,33.65
Plantago himalaica,77.59,33.01
Plantago himalaica,77.48,33.62
Plantago himalaica,77.32,33.27
Plantago himalaica,77.2,33.31
Plantago himalaica,77.54,33.12
Plantago himalaica,77.26,33.08
Plantago himalaica,77.5,33.53
Plantago himalaica,77.53,32.89
Plantago himalaica,77.53,32.91
Plantago himalaica,74.72,36.87
Plantago himalaica,72.93,38.65
Plantago himalaica,83.88,28.82
Plantago himalaica,83.88,28.82
Plantago himalaica,83.88,28.82
Plantago himalaica,77.42,34.05
Plantago himalaica,74.8,36.98
Plantago himalaica,74.93,36.8
Plantago himalaica,74.82,34.08
Plantago himalaica,76.83,33.58
Plantago himalaica,76.87,34.17
Plantago himalaica,75.62,35.3
Plantago himalaica,73.5,34.57
Plantago himalaica,73.25,34.67
Plantago himalaica,73.28,34.47
Plantago himalaica,72.53,36.48
Plantago himalaica,73.5,34.57
Plantago himalaica,77.58,34.17
Plantago himalaica,77.13,34.3
Plantago himalaica,77.58,34.17
Plantago himalaica,79.8,31.48
Plantago himalaica,79.8,31.48
Plantago himalaica,79.8,31.47
Plantago himalaica,79.8,31.47
Plantago himalaica,79.8,31.47
Plantago himalaica,79.8,31.47
Plantago himalaica,75.22,37.77
Taxus contorta,70.60405278,33.81802778
Taxus contorta,71.39888056,35.39716667
Taxus contorta,71.760875,34.894625
Taxus contorta,71.8,35.35
Taxus contorta,72.58333333,35.26666667
Taxus contorta,72.58333333,35.03333333
Taxus contorta,72.7404,34.5014
Taxus contorta,73.2135,34.0545
Taxus contorta,73.2308,34.5437
Taxus contorta,73.38333333,34.55
Taxus contorta,73.4,33.9167
Taxus contorta,73.42884167,34.06148333
Taxus contorta,73.5051,34.1529
Taxus contorta,74.36666667,34.83333333
Taxus contorta,74.63333333,34.56666667
Taxus contorta,74.93128889,34.27033889
Taxus contorta,75.30709444,34.2925
Taxus contorta,76.03333333,32.5
Taxus contorta,76.18403611,32.43768611
Taxus contorta,76.55437222,32.42627222
